# Software: TrackLab 1.6.0
# Start of measurement: 24/8/2026 1:57:35.031 UTC
# Start of measurement - unix time: 1787536655.031
# Chip ID: K8-W0036
# Readout IP address: 192.168.1.49
# Detector mode: ToA & ToT
# Readout mode: Data-Driven Mode
# Bias voltage A: 150.39V
# Bias voltage B: -0.52V
# THL = 1508 (0.790V)
# Sensor temperature: 62.4°C
# Readout temperature: 37.4°C
# ------- Internal DAC values ---------------
# Ibias_Preamp_ON:	128	(1.136V)
# Ibias_Preamp_OFF:	8	(1.275V)
# VPReamp_NCAS:	128	(0.632V)
# Ibias_Ikrum:	15	(1.071V)
# Vfbk:	164	(0.814V)
# Vthreshold_fine:	386	(0.791V)
# Vthreshold_coarse:	7	(0.790V)
# Ibias_DiscS1_ON:	100	(1.036V)
# Ibias_DiscS1_OFF:	8	(1.243V)
# Ibias_DiscS2_ON:	128	(0.328V)
# Ibias_DiscS2_OFF:	8	(0.179V)
# Ibias_PixelDAC:	128	(0.921V)
# Ibias_TPbufferIn:	128	(1.095V)
# Ibias_TPbufferOut:	128	(1.002V)
# VTP_coarse:	128	(0.640V)
# VTP_fine:	256	(0.637V)
# Ibias_CP_PLL:	128	(0.477V)
# PLL_Vcntrl:	128	(0.816V)
# BandGap_output:	--- 	(0.607V)
# BandGap_temp:	--- 	(0.650V)
# Ibias_dac:	--- 	(1.170V)
# Ibias_dac_cas:	--- 	(0.938V)
# DACs: 	128	8	128	15	164	386	7	100	8	128	8	128	128	128	128	256	128	128
# DACs Scans: 	1.13647	1.27502	0.632324	1.07056	0.813599	0.791016	0.790405	1.03638	1.24329	0.327759	0.179443	0.921021	1.09497	1.0022	0.639648	0.637207	0.477295	0.81604	0.606689	0.650024	1.17004	0.9375
# -----------------------------------------------------------------------------------------------------------------------------
18171	16613073	3	12
17914	16613073	6	37
18170	16613073	7	71
25521	31710860	7	26
 2054	40797449	10	13
 2053	40797449	10	12
  265	40797449	11	10
 1031	40797450	1	5
  775	40797449	9	13
  264	40797449	12	12
 1287	40797449	11	11
  520	40797449	13	18
 1542	40797449	13	18
    9	40797449	13	16
 1798	40797449	13	18
36885	88472518	12	19
36655	112523184	1	26
36656	112523184	7	72
43365	112586686	13	78
58556	112661232	6	23
58557	112661232	10	51
22010	112662802	3	74
44237	112769362	1	15
43980	112769362	3	22
44236	112769363	15	17
43981	112769362	5	39
22827	112808111	2	58
22826	112808111	2	74
48447	112810562	14	29
48191	112810561	0	36
39564	112873157	2	19
39308	112873157	6	48
 7011	112924189	15	23
 6755	112924188	2	69
 2018	112925084	4	8
 1762	112925084	13	69
31420	113005348	8	6
31675	113005349	12	18
31676	113005347	4	75
18571	113047777	8	82
18315	113047777	9	58
42161	113070336	9	7
41904	113070336	7	5
41905	113070335	4	110
41316	113091290	15	1
41061	113091289	11	17
41317	113091288	0	108
64274	113094497	12	32
64018	113094497	14	55
30722	113104233	12	81
17199	113116647	11	73
23097	113116781	4	26
23098	113116781	7	40
18183	113127721	14	60
43243	113138639	14	16
43244	113138638	0	16
42987	113138639	15	14
42988	113138638	3	24
37693	113142566	6	3
37694	113142565	10	82
40185	113157007	15	39
39929	113157006	2	43
61906	113159450	7	20
61650	113159450	11	60
26715	113198242	2	14
26716	113198242	7	111
48504	113199806	2	5
48503	113199806	15	66
60572	113203942	14	29
59542	113203942	14	64
60571	113203942	15	80
11679	113206840	4	67
25563	113206948	5	100
20196	113215554	14	51
20197	113215554	15	65
42073	113223200	1	25
41817	113223200	4	60
28923	113228506	13	6
29685	113228505	12	11
29174	113228505	15	13
29177	113228505	15	14
28922	113228504	1	22
29429	113228505	13	22
29430	113228505	15	15
29176	113228504	0	20
29684	113228504	1	79
29175	113228505	15	17
28921	113228505	15	15
45264	113253003	1	77
51832	113260393	12	20
51833	113260392	1	69
34984	113305562	11	7
34983	113305561	0	40
35240	113305562	11	9
35239	113305562	15	43
 7394	113314429	3	40
 7650	113314429	3	49
28268	113324189	14	24
28524	113324188	4	62
24822	113324405	9	42
24821	113324405	9	71
45065	113327780	1	17
44809	113327780	6	50
16501	113371794	13	31
16500	113371794	15	57
26692	113377287	3	68
45845	113381235	9	83
61385	113402647	9	11
61386	113402647	11	19
61129	113402647	10	16
61130	113402646	0	47
41643	113430843	8	8
41899	113430842	1	81
53613	113442829	5	97
 4207	113450901	5	32
 4206	113450901	4	39
31534	113451100	1	68
46429	113454998	7	70
38134	113468057	13	10
37878	113468056	5	79
 4615	113468818	4	7
 4359	113468817	5	67
31467	113499616	8	71
65095	113507421	1	66
10424	113507486	2	4
10680	113507485	5	97
11039	113515330	1	71
 3089	113524683	7	20
 2834	113524683	6	14
 2833	113524683	3	5
 3090	113524683	9	84
 3346	113524683	12	95
 9864	113549857	4	77
 2318	113556380	3	36
 2319	113556380	4	44
17201	113566025	0	78
47884	113576196	14	23
47883	113576196	14	49
23790	113578585	2	74
41608	113585370	10	33
41609	113585370	12	43
33503	113592821	9	17
33248	113592821	8	31
33247	113592821	9	98
23989	113602133	15	3
24246	113602134	10	2
24501	113602131	1	18
24244	113602132	7	5
37339	113602249	6	83
24245	113602131	1	118
22344	113620015	15	26
22088	113620014	0	76
47201	113628018	8	27
46946	113628018	8	31
46945	113628018	7	14
47202	113628018	11	106
30953	113646511	13	59
30643	113649652	1	70
56822	113653205	11	65
22586	113667236	5	67
64188	113705339	15	11
64189	113705338	5	57
39935	113710370	6	44
11932	113723757	14	20
11676	113723756	4	77
29285	113725875	9	24
29029	113725875	12	55
25860	113761171	6	22
26116	113761171	7	52
44312	113762495	2	41
44056	113762495	3	48
64572	113771750	0	74
13312	113803128	11	4
13313	113803127	15	90
10827	113810439	2	74
28506	113819573	8	21
28507	113819573	11	51
 9549	113826609	10	18
 9292	113826609	7	27
 9293	113826609	10	64
33593	113833043	1	16
33594	113833043	8	71
39027	113833379	2	44
39029	113833380	14	21
38770	113833380	15	12
38516	113833379	2	21
39030	113833379	2	85
39026	113833379	2	97
39028	113833380	14	24
38771	113833379	2	44
38772	113833379	2	54
58456	113870887	5	6
58457	113870886	4	60
59373	113890111	7	65
12473	113890438	14	73
16462	113893595	5	4
16461	113893594	4	108
30628	113917471	5	69
56430	113944286	5	78
25534	113951774	8	13
25790	113951774	13	79
 6207	113957657	12	77
27017	113972388	6	11
27016	113972388	10	59
13502	114004611	15	13
13758	114004610	4	70
 9862	114005431	10	68
12923	114012746	1	70
24206	114016323	5	9
24462	114016323	12	70
24193	114047907	9	13
24194	114047906	1	77
 6628	114051778	3	75
  581	114061557	14	4
  838	114061556	13	14
  837	114061555	2	71
 9608	114062110	7	11
 9353	114062110	8	18
 9609	114062110	8	16
 9352	114062110	8	15
11131	114075797	5	5
11132	114075797	15	17
10875	114075797	12	8
10876	114075796	5	52
50851	114076845	6	7
50852	114076844	0	77
