run_number,root_file,tdaq_start_local,tdaq_end_local,tdaq_elapsed_s,tdaq_entries,scaler_branch,scaler_wraps,status,match_quality,timepix_measurement_range,timepix_count,timepix_start_local,timepix_end_local,overlap_measurement_range,overlap_count,nearest_only_count
1781471803,/Users/berare/BL4S/TDAQ_stateofArt/1781471803.root,2026-06-14T23:16:43+02:00,2026-06-14T23:16:47+02:00,4.408970,28169,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781472431,/Users/berare/BL4S/TDAQ_stateofArt/1781472431.root,2026-06-14T23:27:11+02:00,2026-06-14T23:27:22+02:00,11.475500,43467,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781473672,/Users/berare/BL4S/TDAQ_stateofArt/1781473672.root,2026-06-14T23:47:52+02:00,2026-06-14T23:48:05+02:00,13.753000,36777,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781476064,/Users/berare/BL4S/TDAQ_stateofArt/1781476064.root,2026-06-15T00:27:44+02:00,2026-06-15T00:27:47+02:00,3.661480,10004,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781476504,/Users/berare/BL4S/TDAQ_stateofArt/1781476504.root,2026-06-15T00:35:04+02:00,2026-06-15T00:35:09+02:00,5.301560,14644,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781477107,/Users/berare/BL4S/TDAQ_stateofArt/1781477107.root,2026-06-15T00:45:07+02:00,2026-06-15T00:45:15+02:00,8.545760,16242,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781478034,/Users/berare/BL4S/TDAQ_stateofArt/1781478034.root,2026-06-15T01:00:34+02:00,2026-06-15T02:12:18+02:00,4304.180000,25067,Scaler0_ch15,1,ok,no_timepix_match,,0,,,,0,0
1781479535,/Users/berare/BL4S/TDAQ_stateofArt/1781479535.root,2026-06-15T01:25:35+02:00,2026-06-15T01:25:36+02:00,1.943090,12462,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781479753,/Users/berare/BL4S/TDAQ_stateofArt/1781479753.root,2026-06-15T01:29:13+02:00,2026-06-15T01:29:16+02:00,3.220960,20633,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781480140,/Users/berare/BL4S/TDAQ_stateofArt/1781480140.root,2026-06-15T01:35:40+02:00,2026-06-15T02:47:18+02:00,4298.640000,25625,Scaler0_ch15,1,ok,no_timepix_match,,0,,,,0,0
1781480565,/Users/berare/BL4S/TDAQ_stateofArt/1781480565.root,2026-06-15T01:42:45+02:00,2026-06-15T01:42:49+02:00,4.148500,20473,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781481425,/Users/berare/BL4S/TDAQ_stateofArt/1781481425.root,2026-06-15T01:57:05+02:00,2026-06-15T01:57:05+02:00,0.443255,2897,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781481516,/Users/berare/BL4S/TDAQ_stateofArt/1781481516.root,2026-06-15T01:58:36+02:00,2026-06-15T03:10:12+02:00,4296.520000,10956,Scaler0_ch15,1,ok,no_timepix_match,,0,,,,0,0
1781481724,/Users/berare/BL4S/TDAQ_stateofArt/1781481724.root,2026-06-15T02:02:04+02:00,2026-06-15T02:02:06+02:00,2.923510,20467,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781482119,/Users/berare/BL4S/TDAQ_stateofArt/1781482119.root,2026-06-15T02:08:39+02:00,2026-06-15T02:08:42+02:00,3.298340,17548,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781482526,/Users/berare/BL4S/TDAQ_stateofArt/1781482526.root,2026-06-15T02:15:26+02:00,2026-06-15T02:15:34+02:00,8.181490,51206,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781518400,/Users/berare/BL4S/TDAQ_stateofArt/1781518400.root,2026-06-15T12:13:20+02:00,2026-06-15T13:25:37+02:00,4337.200000,147245,Scaler0_ch15,1,ok,no_timepix_match,,0,,,,0,0
1781522719,/Users/berare/BL4S/TDAQ_stateofArt/1781522719.root,2026-06-15T13:25:19+02:00,2026-06-15T13:25:20+02:00,1.854650,8611,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
1781522965,/Users/berare/BL4S/TDAQ_stateofArt/1781522965.root,2026-06-15T13:29:25+02:00,2026-06-15T13:29:26+02:00,1.342680,6751,Scaler0_ch15,0,ok,no_timepix_match,,0,,,,0,0
