target,target_qdc,energy_mev,run,total_events,selected_events,leading_events,target_global_leading_fraction,target_direct_neighbor_leading_fraction,neighbor,neighbor_qdc,neighbor_mean,neighbor_median,neighbor_p90,neighbor_positive_fraction,target_mean,target_median,target_p90
Cal13,11,3000,1786744833,57401,55273,16340,0.295624,0.9835,Cal11,9,20.2815,0.828163,42.8282,0.0369439,2044.66,2229.47,2479.47
Cal13,11,3000,1786744833,57401,55273,16340,0.295624,0.9835,Cal9,7,58.889,8.50375,95.5037,0.0950374,2044.66,2229.47,2479.47
Cal11,9,1000,1786747305,54196,38242,863,0.0225668,0.869698,Cal7,5,29.9917,-9.17692,56.8231,0.0742377,660.644,748.828,885.828
Cal11,9,1000,1786747305,54196,38242,863,0.0225668,0.869698,Cal13,11,44.7169,-3.53103,148.469,0.129151,660.644,748.828,885.828
Cal11,9,1000,1786747305,54196,38242,863,0.0225668,0.869698,Cal14,12,41.8861,-9.17739,110.823,0.105068,660.644,748.828,885.828
Cal11,9,2000,1786746501,50280,46553,4737,0.101755,0.913024,Cal7,5,19.7828,-6.17692,35.8231,0.0415655,1403.68,1567.83,1746.83
Cal11,9,2000,1786746501,50280,46553,4737,0.101755,0.913024,Cal13,11,107.564,15.469,274.469,0.200309,1403.68,1567.83,1746.83
Cal11,9,2000,1786746501,50280,46553,4737,0.101755,0.913024,Cal14,12,61.4959,-1.17739,99.8226,0.0999076,1403.68,1567.83,1746.83
Cal11,9,3000,1786745756,52065,50117,10880,0.217092,0.946765,Cal7,5,16.4468,-3.17692,37.8231,0.0331624,2168.65,2401.83,2615.83
Cal11,9,3000,1786745756,52065,50117,10880,0.217092,0.946765,Cal13,11,142.621,34.469,296.469,0.249935,2168.65,2401.83,2615.83
Cal11,9,3000,1786745756,52065,50117,10880,0.217092,0.946765,Cal14,12,48.5693,5.82261,83.8226,0.0821079,2168.65,2401.83,2615.83
Cal14,12,1000,1786748346,49937,37541,1292,0.0344157,0.819877,Cal18,14,30.5691,-9.46,62.54,0.0791401,835.663,972.823,1163.82
Cal14,12,1000,1786748346,49937,37541,1292,0.0344157,0.819877,Cal9,7,69.1332,-1.49625,208.504,0.148771,835.663,972.823,1163.82
Cal14,12,1000,1786748346,49937,37541,1292,0.0344157,0.819877,Cal2,2,35.0727,-8.16316,95.8368,0.0976799,835.663,972.823,1163.82
Cal14,12,1000,1786748346,49937,37541,1292,0.0344157,0.819877,Cal11,9,45.9191,-2.17184,124.828,0.110892,835.663,972.823,1163.82
Cal14,12,2000,1786750147,50381,47792,8389,0.175531,0.882449,Cal18,14,17.2859,-6.46,36.54,0.0403415,1806.84,2050.82,2286.82
Cal14,12,2000,1786750147,50381,47792,8389,0.175531,0.882449,Cal9,7,163.9,21.5037,407.504,0.231943,1806.84,2050.82,2286.82
Cal14,12,2000,1786750147,50381,47792,8389,0.175531,0.882449,Cal2,2,40.3617,-5.16316,66.8368,0.0756612,1806.84,2050.82,2286.82
Cal14,12,2000,1786750147,50381,47792,8389,0.175531,0.882449,Cal11,9,75.7896,4.82816,120.828,0.112969,1806.84,2050.82,2286.82
Cal14,12,3000,1786750887,2095200,2038487,473545,0.232302,0.930402,Cal18,14,16.0282,-2.46,39.54,0.0336774,2776.93,3114.82,3400.82
Cal14,12,3000,1786750887,2095200,2038487,473545,0.232302,0.930402,Cal9,7,219.242,44.5037,460.504,0.305016,2776.93,3114.82,3400.82
Cal14,12,3000,1786750887,2095200,2038487,473545,0.232302,0.930402,Cal2,2,28.9462,-0.163161,56.8368,0.0540273,2776.93,3114.82,3400.82
Cal14,12,3000,1786750887,2095200,2038487,473545,0.232302,0.930402,Cal11,9,64.1021,10.8282,100.828,0.100116,2776.93,3114.82,3400.82
Cal2,2,1000,1786781408,55253,41386,5086,0.122892,0.824337,Cal4,3,29.0353,-11.1778,56.8222,0.0756294,775.467,901.837,1081.84
Cal2,2,1000,1786781408,55253,41386,5086,0.122892,0.824337,Cal19,15,30.8817,-4.80639,113.194,0.108249,775.467,901.837,1081.84
Cal2,2,1000,1786781408,55253,41386,5086,0.122892,0.824337,Cal0,0,40.9064,1.5072,95.5072,0.097086,775.467,901.837,1081.84
Cal2,2,1000,1786781408,55253,41386,5086,0.122892,0.824337,Cal14,12,61.9689,-6.17739,184.823,0.135722,775.467,901.837,1081.84
Cal2,2,2000,1786780617,54909,52082,16797,0.322511,0.888464,Cal4,3,17.5457,-8.17781,31.8222,0.0394762,1699.25,1931.84,2158.84
Cal2,2,2000,1786780617,54909,52082,16797,0.322511,0.888464,Cal19,15,74.2067,8.19361,198.194,0.158826,1699.25,1931.84,2158.84
Cal2,2,2000,1786780617,54909,52082,16797,0.322511,0.888464,Cal0,0,41.0339,5.5072,66.5072,0.0727315,1699.25,1931.84,2158.84
Cal2,2,2000,1786780617,54909,52082,16797,0.322511,0.888464,Cal14,12,112.894,5.82261,212.823,0.158212,1699.25,1931.84,2158.84
Cal2,2,3000,1786779710,57950,56394,25211,0.447051,0.941394,Cal4,3,12.7939,-5.17781,31.8222,0.0283541,2651.48,2969.84,3236.84
Cal2,2,3000,1786779710,57950,56394,25211,0.447051,0.941394,Cal19,15,97.3563,21.1936,214.194,0.18392,2651.48,2969.84,3236.84
Cal2,2,3000,1786779710,57950,56394,25211,0.447051,0.941394,Cal0,0,29.3635,8.5072,57.5072,0.0494202,2651.48,2969.84,3236.84
Cal2,2,3000,1786779710,57950,56394,25211,0.447051,0.941394,Cal14,12,99.6444,16.8226,170.523,0.163457,2651.48,2969.84,3236.84
Cal0,0,1000,1786782465,50390,38462,4755,0.123629,0.842572,Cal17,13,39.1997,-1.47933,73.4207,0.083719,760.497,868.507,1036.51
Cal0,0,1000,1786782465,50390,38462,4755,0.123629,0.842572,Cal8,6,62.9637,-2.49641,198.504,0.145078,760.497,868.507,1036.51
Cal0,0,1000,1786782465,50390,38462,4755,0.123629,0.842572,Cal2,2,62.7006,-4.16316,206.837,0.145858,760.497,868.507,1036.51
Cal0,0,2000,1786787514,52627,50021,14725,0.294376,0.88001,Cal17,13,26.4528,2.52067,44.5207,0.0448412,1596.1,1805.51,2038.51
Cal0,0,2000,1786787514,52627,50021,14725,0.294376,0.88001,Cal8,6,147.512,17.5036,383.504,0.215529,1596.1,1805.51,2038.51
Cal0,0,2000,1786787514,52627,50021,14725,0.294376,0.88001,Cal2,2,132.391,11.8368,315.837,0.199836,1596.1,1805.51,2038.51
Cal0,0,3000,1786788903,75301,73337,31888,0.434815,0.925058,Cal17,13,23.6443,5.52067,46.5207,0.0353846,2439.71,2736.51,3022.51
Cal0,0,3000,1786788903,75301,73337,31888,0.434815,0.925058,Cal8,6,185.808,35.5036,377.504,0.265991,2439.71,2736.51,3022.51
Cal0,0,3000,1786788903,75301,73337,31888,0.434815,0.925058,Cal2,2,134.024,25.8368,250.837,0.217298,2439.71,2736.51,3022.51
Cal10,8,1000,1786793439,51744,39023,4369,0.11196,0.871947,Cal17,13,79.1162,10.5207,261.521,0.189939,673.937,744.823,900.823
Cal10,8,1000,1786793439,51744,39023,4369,0.11196,0.871947,Cal5,4,58.8454,-5.30048,193.7,0.142839,673.937,744.823,900.823
Cal10,8,2000,1786791937,56256,52320,12257,0.23427,0.874293,Cal17,13,186.137,44.5207,560.521,0.326147,1356.9,1522.82,1760.82
Cal10,8,2000,1786791937,56256,52320,12257,0.23427,0.874293,Cal5,4,122.761,8.69952,279.7,0.183811,1356.9,1522.82,1760.82
Cal10,8,3000,1786790499,68453,66081,26655,0.403369,0.908067,Cal17,13,265.378,80.5207,712.521,0.439203,2049.8,2300.82,2618.82
Cal10,8,3000,1786790499,68453,66081,26655,0.403369,0.908067,Cal5,4,118.055,21.6995,223.7,0.198363,2049.8,2300.82,2618.82
Cal5,4,1000,1786794828,53044,39409,5130,0.130173,0.130605,Cal4,3,66.4242,-1.17781,240.022,0.167525,781.405,891.7,1064.7
Cal5,4,1000,1786794828,53044,39409,5130,0.130173,0.130605,Cal10,8,28.7889,-9.17739,77.8226,0.0866553,781.405,891.7,1064.7
Cal5,4,1000,1786794828,53044,39409,5130,0.130173,0.130605,Cal1,1,2566.02,2345.99,3929.19,0.964856,781.405,891.7,1064.7
Cal5,4,2000,1786796090,51109,47556,14857,0.312411,0.312747,Cal4,3,186.096,32.8222,584.822,0.302128,1647.15,1887.7,2122.7
Cal5,4,2000,1786796090,51109,47556,14857,0.312411,0.312747,Cal10,8,26.9293,-6.17739,47.8226,0.0594667,1647.15,1887.7,2122.7
Cal5,4,2000,1786796090,51109,47556,14857,0.312411,0.312747,Cal1,1,2567.4,2425.99,3927.99,0.964316,1647.15,1887.7,2122.7
Cal5,4,3000,1786797061,52630,50756,22254,0.438451,0.438648,Cal4,3,280.104,67.8222,807.822,0.406533,2523.81,2880.7,3164.7
Cal5,4,3000,1786797061,52630,50756,22254,0.438451,0.438648,Cal10,8,17.2459,-2.17739,39.8226,0.0368823,2523.81,2880.7,3164.7
Cal5,4,3000,1786797061,52630,50756,22254,0.438451,0.438648,Cal1,1,2560.66,2341.49,3927.99,0.964635,2523.81,2880.7,3164.7
Cal1,1,1000,1786800039,50335,36255,30816,0.849979,0.85613,Cal18,14,60.9383,2.54,212.14,0.172004,589.796,658.988,784.988
Cal1,1,1000,1786800039,50335,36255,30816,0.849979,0.85613,Cal5,4,28.3855,-11.3005,74.6995,0.0869397,589.796,658.988,784.988
Cal1,1,1000,1786800039,50335,36255,30816,0.849979,0.85613,Cal12,10,33.6041,-7.17765,113.822,0.107102,589.796,658.988,784.988
Cal1,1,2000,1786799056,50791,46610,40593,0.870908,0.873482,Cal18,14,174.712,42.54,542.54,0.326282,1231.19,1392.49,1570.99
Cal1,1,2000,1786799056,50791,46610,40593,0.870908,0.873482,Cal5,4,33.2399,-6.30048,55.6995,0.0655868,1231.19,1392.49,1570.99
Cal1,1,2000,1786799056,50791,46610,40593,0.870908,0.873482,Cal12,10,61.3993,2.82235,126.822,0.119266,1231.19,1392.49,1570.99
Cal1,1,3000,1786798201,51149,48937,44499,0.909312,0.910865,Cal18,14,264.005,82.54,737.54,0.447862,1899.84,2139.99,2364.99
Cal1,1,3000,1786798201,51149,48937,44499,0.909312,0.910865,Cal5,4,20.4302,-3.30048,43.6995,0.0395611,1899.84,2139.99,2364.99
Cal1,1,3000,1786798201,51149,48937,44499,0.909312,0.910865,Cal12,10,56.6452,9.82235,104.822,0.105462,1899.84,2139.99,2364.99
Cal12,10,1000,1786801341,54129,38049,33868,0.890115,0.893348,Cal7,5,69.7925,2.82308,244.823,0.178323,557.306,604.822,750.822
Cal12,10,1000,1786801341,54129,38049,33868,0.890115,0.893348,Cal1,1,26.8171,-5.01242,74.9876,0.0853636,557.306,604.822,750.822
Cal12,10,2000,1786802590,50889,45821,41000,0.894786,0.895659,Cal7,5,189.451,40.8231,595.823,0.32256,1122.81,1230.82,1456.82
Cal12,10,2000,1786802590,50889,45821,41000,0.894786,0.895659,Cal1,1,34.9763,-2.01242,56.9876,0.0690077,1122.81,1230.82,1456.82
Cal12,10,3000,1786803907,50661,48109,43837,0.911202,0.911721,Cal7,5,287.702,80.8231,823.823,0.4442,1665.37,1842.82,2149.82
Cal12,10,3000,1786803907,50661,48109,43837,0.911202,0.911721,Cal1,1,24.8987,1.98758,45.9876,0.0429649,1665.37,1842.82,2149.82
Cal17,13,1000,1786807867,58556,44942,37296,0.82987,0.835521,Cal10,8,30.1085,-10.1774,63.8226,0.0824173,739.121,841.521,1023.52
Cal17,13,1000,1786807867,58556,44942,37296,0.82987,0.835521,Cal0,0,60.9878,-2.4928,204.507,0.148814,739.121,841.521,1023.52
Cal17,13,1000,1786807867,58556,44942,37296,0.82987,0.835521,Cal4,3,68.9969,-4.17781,238.822,0.161208,739.121,841.521,1023.52
Cal17,13,2000,1786806354,51081,48317,41954,0.868307,0.870087,Cal10,8,15.6455,-7.17739,29.8226,0.0389925,1515.41,1716.52,1975.52
Cal17,13,2000,1786806354,51081,48317,41954,0.868307,0.870087,Cal0,0,137.759,18.5072,372.507,0.220233,1515.41,1716.52,1975.52
Cal17,13,2000,1786806354,51081,48317,41954,0.868307,0.870087,Cal4,3,155.098,14.8222,419.822,0.226359,1515.41,1716.52,1975.52
Cal17,13,3000,1786805198,52349,51015,46839,0.918142,0.919259,Cal10,8,12.18,-4.17739,30.8226,0.0275017,2312.49,2586.52,2912.52
Cal17,13,3000,1786805198,52349,51015,46839,0.918142,0.919259,Cal0,0,171.023,37.5072,369.507,0.274684,2312.49,2586.52,2912.52
Cal17,13,3000,1786805198,52349,51015,46839,0.918142,0.919259,Cal4,3,165.149,31.8222,334.822,0.254455,2312.49,2586.52,2912.52
